,Quantity,Sales_USD,Shipping_Cost_USD,Delivery_Time_Days,Estimated_Delivery_Days,Distance_KM,Customer_Rating,Order_Processing_Days,Shipping_Delay_Days,Cost_Per_Unit,Cost_Per_KM,Speed_Index_KMPD
Quantity,1.0,0.37474865045930006,0.2335681756526291,0.0044969125947904275,0.027664083647601315,-0.0350213686752079,0.002117261934753341,0.01800239916453914,-0.031887259232356926,-0.3142577205063192,0.48837462909585905,-0.046315029459489496
Sales_USD,0.37474865045930006,1.0,0.12044397778930341,-0.02158635166720572,-0.0035449362100581834,-0.007153136932388235,0.011069536821480118,0.017483013618063835,-0.030747820979054704,-0.2630647006617178,0.17708443131624213,-0.002057479553195797
Shipping_Cost_USD,0.2335681756526291,0.12044397778930341,1.0,-0.42668902987456214,-0.6827441904846224,0.4373776806311879,-0.08135468309202155,0.01980638682123345,0.26354315230749664,0.5232712230873952,0.443875754218377,0.637365296778162
Delivery_Time_Days,0.0044969125947904275,-0.02158635166720572,-0.42668902987456214,1.0,0.7997364514994529,0.23927264217567873,-0.25658665457200497,-0.01836787129337518,0.5206010823677863,-0.30235364447504137,-0.462374387453308,-0.601876374084635
Estimated_Delivery_Days,0.027664083647601315,-0.0035449362100581834,-0.6827441904846224,0.7997364514994529,1.0,-0.01789576123558546,0.002804399575777918,-0.02157845977153661,-0.09623624983634552,-0.4503638332937533,-0.46654882880679077,-0.5994422841401792
Distance_KM,-0.0350213686752079,-0.007153136932388235,0.4373776806311879,0.23927264217567873,-0.01789576123558546,1.0,-0.2283111282140178,0.013379071748620066,0.4221553135146761,0.30084387825709435,-0.34477900046609594,0.3899967084011914
Customer_Rating,0.002117261934753341,0.011069536821480118,-0.08135468309202155,-0.25658665457200497,0.002804399575777918,-0.2283111282140178,1.0,0.0037386075336837744,-0.42939881408704517,-0.05730046016781572,0.07409103771359979,0.08210218039224393
Order_Processing_Days,0.01800239916453914,0.017483013618063835,0.01980638682123345,-0.01836787129337518,-0.02157845977153661,0.013379071748620066,0.0037386075336837744,1.0,0.0002349835777331276,-0.008456199980451806,0.04975252680450253,0.0003728493541953507
Shipping_Delay_Days,-0.031887259232356926,-0.030747820979054704,0.26354315230749664,0.5206010823677863,-0.09623624983634552,0.4221553135146761,-0.42939881408704517,0.0002349835777331276,1.0,0.1392024846790777,-0.10308777986793961,-0.14537977759583914
Cost_Per_Unit,-0.3142577205063192,-0.2630647006617178,0.5232712230873952,-0.30235364447504137,-0.4503638332937533,0.30084387825709435,-0.05730046016781572,-0.008456199980451806,0.1392024846790777,1.0,0.11099429700895126,0.46030855563704764
Cost_Per_KM,0.48837462909585905,0.17708443131624213,0.443875754218377,-0.462374387453308,-0.46654882880679077,-0.34477900046609594,0.07409103771359979,0.04975252680450253,-0.10308777986793961,0.11099429700895126,1.0,0.14003408052186075
Speed_Index_KMPD,-0.046315029459489496,-0.002057479553195797,0.637365296778162,-0.601876374084635,-0.5994422841401792,0.3899967084011914,0.08210218039224393,0.0003728493541953507,-0.14537977759583914,0.46030855563704764,0.14003408052186075,1.0
